 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4, QC5, QC6, QC7, QC8, Rh_d
      1,         0.0000,         0.4936,         0.4936,         0.0000,         0.4417,       449.5389,       379.9996,       249.9469,       119.5022,       299.9994,       321.9343,     38340.0000,     23120.0000,         0.0519
      2,         0.0000,         0.3907,         0.3907,         0.0000,         0.2985,       449.0038,       379.9988,       249.8510,       120.1107,       299.9979,       321.8184,     38340.0000,     23120.0000,         0.0922
      3,         0.0000,         0.2639,         0.2639,         0.0000,         0.1733,       448.4692,       379.9981,       249.7554,       120.7178,       299.9965,       321.7049,     38340.0000,     23120.0000,         0.0907
      4,         0.0005,         0.3137,         0.3141,         0.0000,         0.2240,       447.9352,       379.9974,       249.6606,       121.3230,       299.9950,       321.5933,     38340.0000,     23120.0000,         0.0901
      5,         0.0000,         0.5038,         0.5038,         0.0000,         0.4141,       447.4020,       379.9966,       249.5665,       121.9260,       299.9935,       321.4832,     38340.0000,     23120.0000,         0.0897
      6,         0.0000,         0.3292,         0.3292,         0.0000,         0.2396,       446.8694,       379.9959,       249.4733,       122.5268,       299.9921,       321.3743,     38340.0000,     23120.0000,         0.0896
      7,         0.0000,         0.3966,         0.3966,         0.0000,         0.3072,       446.3374,       379.9952,       249.3808,       123.1255,       299.9906,       321.2666,     38340.0000,     23120.0000,         0.0895
      8,         0.0000,         0.2747,         0.2747,         0.0000,         0.1854,       445.8061,       379.9944,       249.2890,       123.7221,       299.9891,       321.1600,     38340.0000,     23120.0000,         0.0893
      9,         0.0000,         0.2214,         0.2214,         0.0000,         0.1323,       445.2753,       379.9937,       249.1980,       124.3168,       299.9877,       321.0545,     38340.0000,     23120.0000,         0.0891
     10,         0.0000,         0.3074,         0.3074,         0.0000,         0.2185,       444.7452,       379.9930,       249.1077,       124.9094,       299.9862,       320.9503,     38340.0000,     23120.0000,         0.0889
     11,         0.0000,         0.4265,         0.4265,         0.0000,         0.3377,       444.2157,       379.9922,       249.0181,       125.5000,       299.9847,       320.8473,     38340.0000,     23120.0000,         0.0888
     12,         0.0000,         0.4057,         0.4057,         0.0000,         0.3170,       443.6869,       379.9915,       248.9291,       126.0887,       299.9833,       320.7451,     38340.0000,     23120.0000,         0.0887
     13,         0.0000,         0.4125,         0.4125,         0.0000,         0.3238,       443.1587,       379.9908,       248.8407,       126.6754,       299.9818,       320.6441,     38340.0000,     23120.0000,         0.0886
     14,         0.0000,         0.3569,         0.3569,         0.0000,         0.2683,       442.6311,       379.9901,       248.7529,       127.2603,       299.9803,       320.5440,     38340.0000,     23120.0000,         0.0887
     15,         0.0000,         0.2403,         0.2403,         0.0000,         0.1516,       442.1042,       379.9893,       248.6655,       127.8434,       299.9789,       320.4449,     38340.0000,     23120.0000,         0.0887
     16,         0.0000,         0.2088,         0.2088,         0.0000,         0.1202,       441.5779,       379.9886,       248.5786,       128.4246,       299.9774,       320.3465,     38340.0000,     23120.0000,         0.0886
     17,         0.0000,         0.3400,         0.3400,         0.0000,         0.2514,       441.0521,       379.9879,       248.4922,       129.0040,       299.9760,       320.2491,     38340.0000,     23120.0000,         0.0886
     18,         0.0000,         0.2137,         0.2137,         0.0000,         0.1251,       440.5270,       379.9871,       248.4063,       129.5817,       299.9745,       320.1525,     38340.0000,     23120.0000,         0.0886
     19,         0.0000,         0.2257,         0.2257,         0.0000,         0.1371,       440.0026,       379.9864,       248.3208,       130.1577,       299.9723,       320.0568,     38340.0000,     23120.0000,         0.0886
     20,         0.0000,         0.1818,         0.1818,         0.0000,         0.0933,       439.4788,       379.9857,       248.2357,       130.7322,       299.9701,       319.9619,     38340.0000,     23120.0000,         0.0886
     21,         0.0000,         0.1396,         0.1396,         0.0000,         0.0509,       438.9556,       379.9849,       248.1509,       131.3051,       299.9679,       319.8675,     38340.0000,     23120.0000,         0.0887
     22,         0.0000,         0.1595,         0.1595,         0.0000,         0.0708,       438.4330,       379.9842,       248.0665,       131.8765,       299.9657,       319.7740,     38340.0000,     23120.0000,         0.0887
     23,         0.0000,         0.1972,         0.1972,         0.0000,         0.1085,       437.9111,       379.9835,       247.9823,       132.4464,       299.9635,       319.6810,     38340.0000,     23120.0000,         0.0887
     24,         0.0000,         0.3609,         0.3609,         0.0000,         0.2722,       437.3897,       379.9827,       247.8985,       133.0147,       299.9613,       319.5888,     38340.0000,     23120.0000,         0.0887
     25,         0.0000,         0.3833,         0.3833,         0.0000,         0.2945,       436.8690,       379.9820,       247.8150,       133.5816,       299.9591,       319.4972,     38340.0000,     23120.0000,         0.0889
     26,         0.0000,         0.4737,         0.4737,         0.0000,         0.3848,       436.3489,       379.9813,       247.7319,       134.1469,       299.9569,       319.4064,     38340.0000,     23120.0000,         0.0890
     27,         0.0000,         0.5201,         0.5201,         0.0000,         0.4310,       435.8295,       379.9805,       247.6489,       134.7107,       299.9547,       319.3159,     38340.0000,     23120.0000,         0.0891
     28,         0.0000,         0.4519,         0.4519,         0.0000,         0.3627,       435.3106,       379.9798,       247.5662,       135.2731,       299.9525,       319.2261,     38340.0000,     23120.0000,         0.0892
     29,         0.0000,         0.3938,         0.3938,         0.0000,         0.3043,       434.7924,       379.9791,       247.4838,       135.8339,       299.9503,       319.1367,     38340.0000,     23120.0000,         0.0895
     30,         0.0000,         0.2509,         0.2509,         0.0000,         0.1613,       434.2747,       379.9783,       247.4014,       136.3935,       299.9482,       319.0477,     38340.0000,     23120.0000,         0.0896
     31,         0.0000,         0.2114,         0.2114,         0.0000,         0.1218,       433.7582,       379.9776,       247.3193,       136.9512,       299.9460,       318.9598,     38340.0000,     23120.0000,         0.0897
     32,         0.0000,         0.1934,         0.1934,         0.0000,         0.1037,       433.2433,       379.9769,       247.2373,       137.5067,       299.9438,       318.8721,     38340.0000,     23120.0000,         0.0897
     33,         0.0000,         0.2007,         0.2007,         0.0000,         0.1111,       432.7301,       379.9761,       247.1557,       138.0598,       299.9416,       318.7846,     38340.0000,     23120.0000,         0.0897
     34,         0.0000,         0.3835,         0.3835,         0.0000,         0.2941,       432.2192,       379.9754,       247.0743,       138.6099,       299.9394,       318.6987,     38340.0000,     23120.0000,         0.0893
     35,         0.0000,         0.5799,         0.5799,         0.0000,         0.4903,       431.7105,       379.9747,       246.9932,       139.1570,       299.9372,       318.6130,     38340.0000,     23120.0000,         0.0896
     36,         0.0000,         0.5795,         0.5795,         0.0000,         0.4896,       431.2032,       379.9739,       246.9123,       139.7018,       299.9350,       318.5278,     38340.0000,     23120.0000,         0.0899
     37,         0.0000,         0.4388,         0.4388,         0.0000,         0.3489,       430.6975,       379.9732,       246.8316,       140.2443,       299.9328,       318.4431,     38340.0000,     23120.0000,         0.0899
     38,         0.0000,         0.1979,         0.1979,         0.0000,         0.1079,       430.1933,       379.9725,       246.7510,       140.7848,       299.9306,       318.3585,     38340.0000,     23120.0000,         0.0900
     39,         0.0000,         0.1869,         0.1869,         0.0000,         0.0969,       429.6906,       379.9717,       246.6707,       141.3233,       299.9284,       318.2748,     38340.0000,     23120.0000,         0.0900
     40,         0.0000,         0.1699,         0.1699,         0.0000,         0.0799,       429.1895,       379.9710,       246.5905,       141.8595,       299.9262,       318.1916,     38340.0000,     23120.0000,         0.0900
     41,         0.0539,         0.1063,         0.1602,         0.0000,         0.0702,       428.6901,       379.9703,       246.5106,       142.3934,       299.9240,       318.1084,     38340.0000,     23120.0000,         0.0900
     42,         0.0002,         0.2798,         0.2799,         0.0000,         0.1899,       428.1921,       379.9695,       246.4308,       142.9255,       299.9218,       318.0258,     38340.0000,     23120.0000,         0.0901
